Model Name,Release Date,price,MMLU,GPQA Diamond,HumanEval,MATH-500,LMSys Chatbot Arena ELO,MATH 5,Tokens per Second,Prefill Latency (s),Prompt Length (tk),source,Provider,Input Price (USD/1M tokens),Output Price (USD/1M tokens)
GPT-4.5,2025-02-27,93.75,90.8,69.5,87.1,,,88.6,,,,updated_2026,OpenAI,75.0,150.0
DeepSeek-V3-0324,2025-03-24,0.4775,88.5,68.4,,,,90.2,,,,updated_2026,DeepSeek,0.27,1.1
Gemini 2.5 Pro,2025-03-25,3.4375,89.8,84.0,,,,,,,,updated_2026,Google,1.25,10.0
Llama 4 Maverick,2025-04-05,0.415,85.5,82.2,82.4,,,61.2,,,,updated_2026,Meta,0.27,0.85
Llama 4 Scout,2025-04-05,0.2125,79.6,65.1,74.1,,,50.3,,,,updated_2026,Meta,0.15,0.4
GPT-4.1 nano,2025-04-14,0.175,80.1,50.3,62.3,,,87.0,,,,updated_2026,OpenAI,0.1,0.4
GPT-4.1 mini,2025-04-14,0.7,87.5,65.0,81.4,,,93.8,,,,updated_2026,OpenAI,0.4,1.6
GPT-4.1,2025-04-14,3.5,90.2,66.3,82.1,,,94.5,,,,updated_2026,OpenAI,2.0,8.0
Qwen3-235B-A22B,2025-05-15,1.56,,,,,,,,,,updated_2026,Alibaba,0.78,3.9
Gemini 2.5 Flash,2025-05-20,0.85,88.4,82.8,,,,,,,,updated_2026,Google,0.3,2.5
Claude Sonnet 4,2025-05-22,6.0,86.5,75.4,,,,,,,,updated_2026,Anthropic,3.0,15.0
Claude Opus 4,2025-05-22,30.0,88.8,79.6,,,,,,,,updated_2026,Anthropic,15.0,75.0
Claude Opus 4.1,2025-08-05,30.0,,,,,,,,,,updated_2026,Anthropic,15.0,75.0
Claude 4.5 Sonnet,2025-09-29,6.0,,83.4,,,,97.7,,,,updated_2026,Anthropic,3.0,15.0
DeepSeek-V3.2,2025-10-01,0.315,,,,,,,,,,updated_2026,DeepSeek,0.28,0.42
Claude Haiku 4.5,2025-10-01,2.0,,,,,,,,,,updated_2026,Anthropic,1.0,5.0
Claude Opus 4.5,2025-11-01,10.0,,,,,,,,,,updated_2026,Anthropic,5.0,25.0
Mistral Large 3,2025-12-02,0.75,85.5,43.9,92.0,,,,,,,updated_2026,Mistral,0.5,1.5
GPT-5.3 Codex,2026-01-15,6.0,,91.5,,,,,,,,updated_2026,OpenAI,3.0,15.0
Grok 4,2026-01-20,6.0,,,,,,,,,,updated_2026,xAI,3.0,15.0
Grok 4 Fast,2026-01-20,0.275,,,,,,,,,,updated_2026,xAI,0.2,0.5
Claude Sonnet 4.6,2026-02-17,6.0,,74.1,,,,,,,,updated_2026,Anthropic,3.0,15.0
Claude Opus 4.6,2026-02-17,30.0,91.1,91.3,,,1503.0,,,,,updated_2026,Anthropic,15.0,75.0
Gemini 3.1 Pro,2026-02-19,4.5,92.6,94.3,,,,,,,,updated_2026,Google,2.0,12.0
Gemini 3.1 Flash-Lite,2026-03-03,0.5625,,86.9,,,,,,,,updated_2026,Google,0.25,1.5
GPT-5.4,2026-03-05,5.625,88.5,92.0,,,,,,,,updated_2026,OpenAI,2.5,15.0
